Customer_ID,Age,Gender,City,Annual_Income,Spending_Score,Online_Purchases,Store_Visits,Membership_Years,Preferred_Category,Avg_Basket_Value,Last_Purchase_Days
10028,39.0,Female,Mumbai,82646,57.0,8.0,15.0,12.0,Home Decor,3482,11.0
10029,61.0,Male,Delhi,73117,2.0,24.0,19.0,13.0,Grocery,4048,20.0
10030,,,,60748,,,,,,7537,
10031,66.0,Male,Hyderabad,86094,98.0,23.0,5.0,14.0,Fashion,4719,127.0
10032,44.0,Male,Hyderabad,84048,70.0,31.0,8.0,2.0,Home Decor,3438,77.0
10033,59.0,Female,Delhi,33655,31.0,6.0,18.0,7.0,Grocery,6518,35.0
10034,,,,69199,,,,,,1705,
10035,33.0,Female,Bangalore,92256,76.0,24.0,3.0,1.0,Fashion,1257,10.0
10036,32.0,Female,Pune,96437,54.0,19.0,14.0,2.0,Electronics,4494,38.0
10037,64.0,Male,Pune,79272,28.0,16.0,15.0,14.0,Fashion,4463,83.0
10038,68.0,Male,Mumbai,64167,79.0,35.0,13.0,8.0,Electronics,7086,32.0
10039,61.0,Male,Hyderabad,80532,19.0,25.0,9.0,11.0,Home Decor,7400,54.0
10040,69.0,Male,Mumbai,90194,76.0,18.0,17.0,10.0,Grocery,4797,57.0
10041,20.0,Female,Pune,72895,48.0,36.0,19.0,13.0,Electronics,4583,107.0
10042,54.0,Female,Pune,75715,2.0,47.0,4.0,13.0,Home Decor,3447,25.0
10043,68.0,Female,Hyderabad,63754,11.0,2.0,10.0,4.0,Electronics,4780,142.0
10044,24.0,Male,Bangalore,36580,44.0,42.0,3.0,14.0,Home Decor,-113,45.0
10045,38.0,Female,Bangalore,65640,59.0,27.0,19.0,3.0,Fashion,4097,172.0
10046,26.0,Male,Hyderabad,53072,59.0,21.0,9.0,14.0,Home Decor,4838,118.0
10047,56.0,Male,Hyderabad,53151,38.0,46.0,5.0,2.0,Electronics,3429,38.0
10048,35.0,Male,Mumbai,105845,25.0,18.0,14.0,11.0,Grocery,3712,125.0
10049,21.0,Male,Hyderabad,93788,21.0,45.0,7.0,6.0,Fashion,4402,36.0
10050,42.0,Male,Bangalore,27662,42.0,15.0,6.0,4.0,Fashion,4987,88.0
10051,31.0,Female,Hyderabad,42878,36.0,5.0,8.0,3.0,Home Decor,6725,124.0
10052,67.0,Female,Mumbai,60910,9.0,36.0,2.0,3.0,Electronics,5852,167.0
10053,26.0,Male,Mumbai,53984,12.0,30.0,14.0,10.0,Home Decor,6762,167.0
10054,43.0,Female,Mumbai,77935,10.0,48.0,7.0,3.0,Fashion,6145,13.0
10055,19.0,Male,Mumbai,38910,59.0,47.0,3.0,12.0,Grocery,5229,162.0
10056,37.0,Male,Delhi,93963,5.0,33.0,6.0,8.0,Home Decor,9463,124.0
10057,45.0,Male,Hyderabad,68899,33.0,30.0,14.0,9.0,Electronics,3567,15.0
10058,64.0,Female,Pune,61487,69.0,10.0,12.0,9.0,Home Decor,3173,58.0
10059,24.0,Male,Hyderabad,69642,80.0,35.0,18.0,5.0,Home Decor,4694,112.0
10060,61.0,Male,Delhi,59562,63.0,5.0,12.0,1.0,Home Decor,4879,59.0
10061,25.0,Female,Mumbai,19233,29.0,26.0,7.0,10.0,Grocery,5275,52.0
10062,64.0,Female,Delhi,70298,18.0,6.0,5.0,5.0,Electronics,3091,69.0
10063,52.0,Female,Bangalore,61981,93.0,48.0,12.0,1.0,Electronics,8914,103.0
10064,31.0,Male,Bangalore,46138,6.0,31.0,9.0,9.0,Fashion,4309,5.0
10065,34.0,Male,Hyderabad,97435,53.0,7.0,11.0,13.0,Fashion,3072,43.0
10066,,,,86735,,,,,,5528,
10067,67.0,Male,Pune,130971,32.0,46.0,14.0,13.0,Fashion,7191,78.0
10068,57.0,Female,Pune,90870,42.0,43.0,12.0,8.0,Electronics,8221,93.0
10069,21.0,Female,Bangalore,53914,47.0,14.0,18.0,7.0,Home Decor,203,63.0
10070,19.0,Male,Mumbai,47355,31.0,26.0,7.0,2.0,Fashion,6534,163.0
10071,23.0,Male,Delhi,57642,62.0,29.0,1.0,2.0,Grocery,8513,32.0
10072,59.0,Female,Pune,53334,56.0,21.0,13.0,14.0,Fashion,3809,97.0
10073,21.0,Female,Pune,72719,11.0,46.0,16.0,4.0,Grocery,4536,118.0
10074,46.0,Female,Mumbai,31530,26.0,28.0,5.0,9.0,Fashion,3102,24.0
10075,35.0,Female,Mumbai,86182,92.0,40.0,19.0,14.0,Electronics,3881,50.0
10076,43.0,Male,Hyderabad,72279,27.0,47.0,9.0,9.0,Fashion,2869,118.0
10077,61.0,Female,Delhi,83311,83.0,29.0,9.0,14.0,Grocery,6869,128.0
10078,51.0,Female,Mumbai,41396,57.0,1.0,12.0,8.0,Grocery,4787,112.0
10079,27.0,Female,Pune,76167,27.0,14.0,18.0,11.0,Fashion,-1007,38.0
10080,,,,102479,,,,,,3794,
10081,31.0,Male,Bangalore,48487,62.0,26.0,17.0,14.0,Grocery,3618,149.0
10082,48.0,Female,Mumbai,47803,20.0,6.0,19.0,7.0,Electronics,6710,151.0
10083,65.0,Male,Hyderabad,87798,3.0,26.0,11.0,12.0,Fashion,4864,174.0
10084,32.0,Male,Delhi,45773,16.0,20.0,16.0,9.0,Grocery,4811,158.0
10085,,,,64167,,,,,,6285,
10086,31.0,Female,Pune,106893,93.0,16.0,15.0,4.0,Fashion,7115,82.0
10087,40.0,Female,Hyderabad,48158,79.0,10.0,11.0,2.0,Home Decor,5535,70.0
10088,57.0,Male,Pune,108611,30.0,9.0,7.0,9.0,Fashion,3691,69.0
10089,38.0,Female,Pune,61605,40.0,32.0,2.0,7.0,Fashion,1989,170.0
10090,33.0,Female,Pune,41969,65.0,13.0,19.0,6.0,Fashion,7899,146.0
10091,62.0,Male,Pune,85092,29.0,36.0,9.0,5.0,Electronics,11778,13.0
10092,35.0,Male,Pune,72693,30.0,7.0,18.0,12.0,Fashion,5248,119.0
10093,64.0,Female,Bangalore,70329,32.0,32.0,13.0,7.0,Electronics,5632,102.0
10094,41.0,Male,Hyderabad,50782,10.0,6.0,1.0,3.0,Fashion,8008,21.0
10095,43.0,Female,Bangalore,72511,91.0,33.0,19.0,5.0,Home Decor,1574,77.0
10096,42.0,Female,Bangalore,18309,51.0,6.0,13.0,2.0,Home Decor,6908,82.0
10097,62.0,Male,Mumbai,75469,8.0,6.0,14.0,5.0,Grocery,5751,77.0
10098,58.0,Female,Mumbai,102431,51.0,40.0,17.0,7.0,Fashion,3461,99.0
10099,46.0,Female,Mumbai,129320,36.0,35.0,1.0,11.0,Home Decor,15836,166.0
10100,32.0,Male,Delhi,59830,55.0,6.0,5.0,10.0,Home Decor,2369,168.0
10101,,,,48134,,,,,,7250,
10102,18.0,Male,Hyderabad,32223,36.0,17.0,18.0,7.0,Grocery,2920,43.0
10103,42.0,Female,Bangalore,18678,56.0,44.0,13.0,9.0,Electronics,5824,122.0
10104,24.0,Male,Hyderabad,40479,36.0,42.0,12.0,3.0,Home Decor,1747,124.0
10105,26.0,Male,Mumbai,63940,89.0,40.0,15.0,8.0,Home Decor,7788,20.0
10106,41.0,Male,Delhi,98728,84.0,13.0,4.0,5.0,Electronics,4590,163.0
10107,,,,31932,,,,,,7144,
10108,61.0,Female,Bangalore,77359,62.0,13.0,3.0,1.0,Electronics,4576,74.0
10109,25.0,Female,Hyderabad,75491,81.0,20.0,11.0,1.0,Electronics,3786,72.0
10110,41.0,Male,Pune,111799,87.0,48.0,15.0,4.0,Grocery,2318,168.0
10111,28.0,Female,Hyderabad,84275,25.0,26.0,16.0,5.0,Electronics,7107,46.0
10112,68.0,Male,Mumbai,85714,64.0,45.0,7.0,13.0,Electronics,4272,79.0
10113,34.0,Male,Pune,87482,60.0,25.0,7.0,10.0,Electronics,5593,170.0
10114,25.0,Female,Delhi,46894,57.0,26.0,9.0,3.0,Electronics,3584,146.0
10115,52.0,Female,Bangalore,55679,95.0,23.0,17.0,6.0,Home Decor,4965,15.0
10116,52.0,Male,Bangalore,97921,70.0,4.0,13.0,3.0,Electronics,5410,99.0
10117,50.0,Male,Delhi,18730,99.0,41.0,9.0,5.0,Home Decor,1489,66.0
10118,22.0,Female,Mumbai,52942,52.0,37.0,9.0,11.0,Fashion,3635,141.0
10119,59.0,Male,Delhi,36729,56.0,27.0,12.0,13.0,Fashion,8150,109.0
10120,56.0,Female,Mumbai,75856,63.0,41.0,19.0,1.0,Electronics,3365,57.0
10121,58.0,Male,Pune,59459,68.0,42.0,15.0,3.0,Grocery,6804,137.0
10122,45.0,Male,Delhi,85649,20.0,31.0,18.0,7.0,Grocery,5652,121.0
10123,24.0,Female,Mumbai,67275,54.0,23.0,8.0,3.0,Home Decor,6022,99.0
10124,26.0,Female,Pune,31347,1.0,5.0,6.0,5.0,Home Decor,6267,66.0
10125,25.0,Female,Delhi,32503,90.0,9.0,6.0,7.0,Fashion,5040,144.0
10126,29.0,Female,Bangalore,69848,98.0,45.0,3.0,13.0,Home Decor,3861,110.0
10127,51.0,Female,Delhi,50721,10.0,2.0,3.0,2.0,Grocery,3510,130.0
10128,50.0,Female,Hyderabad,56684,23.0,6.0,2.0,3.0,Fashion,4338,144.0
10129,65.0,Female,Delhi,93460,51.0,28.0,5.0,4.0,Electronics,7500,72.0
10130,40.0,Male,Hyderabad,88975,24.0,33.0,12.0,5.0,Home Decor,2288,1.0
10131,41.0,Male,Pune,114943,13.0,6.0,6.0,12.0,Electronics,4376,105.0
10132,54.0,Male,Delhi,62091,29.0,16.0,16.0,9.0,Home Decor,1970,154.0
10133,52.0,Female,Pune,53971,58.0,12.0,5.0,9.0,Grocery,3835,172.0
10134,61.0,Female,Pune,80454,91.0,20.0,6.0,4.0,Home Decor,4751,133.0
10135,57.0,Female,Mumbai,55980,95.0,30.0,4.0,14.0,Grocery,7789,21.0
10136,39.0,Male,Pune,56798,43.0,8.0,14.0,9.0,Grocery,8006,35.0
10137,44.0,Female,Pune,64947,10.0,44.0,3.0,4.0,Electronics,1405,104.0
10138,52.0,Female,Delhi,111318,31.0,46.0,17.0,2.0,Home Decor,1976,54.0
10139,18.0,Male,Delhi,87599,74.0,12.0,5.0,10.0,Electronics,4668,124.0
10140,52.0,Female,Bangalore,90220,88.0,16.0,6.0,1.0,Grocery,6522,178.0
10141,54.0,Male,Mumbai,110196,97.0,7.0,4.0,7.0,Grocery,1794,108.0
10142,64.0,Male,Pune,92563,14.0,8.0,13.0,4.0,Grocery,4259,44.0
10143,31.0,Female,Mumbai,41714,99.0,8.0,8.0,12.0,Grocery,7071,85.0
10144,20.0,Female,Hyderabad,92184,34.0,39.0,11.0,8.0,Fashion,7314,4.0
10145,,,,95356,,,,,,4391,
10146,22.0,Male,Mumbai,86296,21.0,29.0,5.0,12.0,Home Decor,997,42.0
10147,43.0,Male,Bangalore,65113,96.0,6.0,5.0,8.0,Grocery,7098,169.0
10148,31.0,Male,Bangalore,83658,67.0,16.0,3.0,6.0,Fashion,3158,164.0
10149,56.0,Female,Pune,69494,58.0,38.0,2.0,9.0,Home Decor,6075,24.0
10150,44.0,Female,Hyderabad,45547,79.0,37.0,3.0,14.0,Fashion,3201,133.0
10151,26.0,Female,Bangalore,51759,8.0,4.0,15.0,4.0,Fashion,5201,67.0
10152,,,,87593,,,,,,5620,
10153,32.0,Male,Hyderabad,47354,38.0,39.0,3.0,4.0,Fashion,7568,173.0
10154,43.0,Male,Mumbai,49711,26.0,0.0,15.0,5.0,Grocery,2184,96.0
10155,59.0,Male,Bangalore,88834,64.0,15.0,11.0,2.0,Electronics,3236,22.0
10156,30.0,Male,Delhi,73344,30.0,16.0,16.0,5.0,Electronics,8227,139.0
10157,68.0,Female,Bangalore,84429,9.0,29.0,13.0,10.0,Electronics,5463,166.0
10158,,,,39274,,,,,,3280,
10159,56.0,Female,Mumbai,83735,11.0,34.0,12.0,9.0,Home Decor,6445,132.0
10160,66.0,Male,Pune,53499,86.0,44.0,7.0,7.0,Home Decor,3001,138.0
10161,69.0,Male,Delhi,44577,34.0,7.0,1.0,7.0,Electronics,5390,19.0
10162,49.0,Female,Mumbai,57366,18.0,47.0,14.0,14.0,Electronics,3631,82.0
10163,21.0,Female,Hyderabad,104051,19.0,29.0,10.0,6.0,Home Decor,7485,156.0
10164,47.0,Male,Delhi,60888,54.0,38.0,3.0,2.0,Electronics,3287,95.0
10165,54.0,Female,Delhi,125034,82.0,20.0,11.0,10.0,Fashion,-307,17.0
10166,40.0,Male,Hyderabad,18445,37.0,14.0,15.0,12.0,Fashion,4102,24.0
10167,56.0,Male,Bangalore,31343,82.0,33.0,6.0,11.0,Electronics,3665,129.0
10168,62.0,Male,Hyderabad,103104,12.0,26.0,18.0,10.0,Home Decor,4511,5.0
10169,,,,109390,,,,,,6113,
10170,60.0,Female,Bangalore,48413,43.0,9.0,15.0,9.0,Grocery,2636,53.0
10171,46.0,Male,Bangalore,71722,27.0,4.0,3.0,14.0,Electronics,3445,81.0
10172,53.0,Female,Bangalore,87804,51.0,26.0,15.0,5.0,Grocery,4988,171.0
10173,30.0,Male,Bangalore,64265,5.0,3.0,1.0,6.0,Home Decor,3681,86.0
10174,49.0,Male,Bangalore,73746,6.0,46.0,10.0,1.0,Fashion,5130,103.0
10175,24.0,Male,Hyderabad,70273,77.0,12.0,18.0,5.0,Fashion,6075,167.0
10176,68.0,Male,Pune,32963,87.0,16.0,8.0,6.0,Home Decor,5027,162.0
10177,39.0,Female,Pune,61383,56.0,20.0,12.0,10.0,Grocery,7200,80.0
10178,45.0,Male,Mumbai,70309,89.0,22.0,5.0,11.0,Electronics,3103,5.0
10179,19.0,Male,Pune,72578,68.0,32.0,1.0,2.0,Fashion,3842,18.0
10180,,,,26737,,,,,,7986,
10181,62.0,Male,Hyderabad,88842,44.0,14.0,5.0,14.0,Grocery,3531,109.0
10182,23.0,Male,Bangalore,73237,15.0,13.0,17.0,4.0,Fashion,9900,91.0
10183,45.0,Female,Bangalore,43615,90.0,8.0,15.0,5.0,Fashion,6932,70.0
10184,45.0,Female,Hyderabad,114976,42.0,43.0,4.0,3.0,Electronics,3356,139.0
10185,61.0,Female,Pune,61335,11.0,36.0,13.0,5.0,Home Decor,6170,175.0
10186,61.0,Male,Hyderabad,62958,73.0,29.0,17.0,12.0,Grocery,5592,81.0
10187,37.0,Female,Mumbai,86042,11.0,28.0,13.0,4.0,Electronics,2090,31.0
10188,47.0,Female,Bangalore,117100,66.0,22.0,2.0,12.0,Fashion,8088,13.0
10189,28.0,Male,Delhi,87025,27.0,33.0,4.0,14.0,Home Decor,6642,23.0
10190,45.0,Male,Mumbai,90652,58.0,6.0,2.0,10.0,Home Decor,7953,65.0
10191,42.0,Male,Mumbai,44959,90.0,8.0,12.0,6.0,Grocery,7093,30.0
10192,56.0,Male,Hyderabad,72173,72.0,49.0,19.0,2.0,Home Decor,5697,159.0
10193,50.0,Male,Pune,56693,21.0,3.0,18.0,3.0,Fashion,7159,47.0
10194,18.0,Female,Bangalore,87603,21.0,1.0,10.0,12.0,Fashion,2328,144.0
10195,44.0,Female,Delhi,89924,72.0,26.0,5.0,10.0,Fashion,8967,171.0
10196,69.0,Female,Mumbai,110830,1.0,32.0,11.0,1.0,Electronics,6490,131.0
10197,30.0,Male,Delhi,16041,58.0,31.0,1.0,7.0,Fashion,1093,12.0
10198,58.0,Male,Pune,54235,13.0,43.0,3.0,9.0,Electronics,2011,139.0
10199,20.0,Male,Pune,102506,73.0,44.0,17.0,2.0,Fashion,5575,16.0
10200,,,,34961,,,,,,3220,
10201,23.0,Female,Bangalore,90141,6.0,36.0,14.0,3.0,Home Decor,6039,117.0
10202,25.0,Male,Pune,98350,87.0,26.0,15.0,5.0,Grocery,3028,149.0
10203,44.0,Female,Delhi,69291,100.0,27.0,16.0,6.0,Fashion,2454,109.0
10204,26.0,Male,Mumbai,34463,58.0,2.0,4.0,8.0,Home Decor,3919,58.0
10205,54.0,Female,Delhi,66962,17.0,35.0,19.0,4.0,Home Decor,11537,171.0
10206,50.0,Female,Delhi,106467,73.0,48.0,8.0,2.0,Grocery,2810,5.0
10207,68.0,Female,Hyderabad,108475,12.0,42.0,6.0,3.0,Home Decor,7513,141.0
10208,59.0,Male,Pune,75197,86.0,7.0,16.0,8.0,Home Decor,3484,81.0
10209,61.0,Female,Bangalore,45569,52.0,43.0,3.0,7.0,Grocery,4822,140.0
10210,41.0,Female,Bangalore,113459,76.0,49.0,8.0,6.0,Electronics,5249,1.0
10211,32.0,Male,Hyderabad,90523,70.0,49.0,5.0,5.0,Grocery,4875,8.0
10212,49.0,Female,Bangalore,47212,73.0,40.0,5.0,11.0,Grocery,5113,144.0
10213,49.0,Male,Delhi,78562,52.0,36.0,12.0,5.0,Fashion,5676,143.0
10214,41.0,Male,Hyderabad,77418,37.0,48.0,1.0,1.0,Fashion,2012,19.0
10215,58.0,Male,Mumbai,54080,3.0,44.0,7.0,14.0,Electronics,4735,153.0
10216,69.0,Male,Pune,78702,98.0,37.0,11.0,6.0,Grocery,4888,31.0
10217,66.0,Male,Pune,97654,8.0,21.0,10.0,13.0,Grocery,6110,130.0
10218,66.0,Female,Pune,62593,10.0,13.0,3.0,9.0,Electronics,4437,121.0
10219,69.0,Male,Delhi,100206,47.0,14.0,8.0,8.0,Fashion,6056,59.0
10220,29.0,Male,Mumbai,26116,41.0,45.0,1.0,12.0,Grocery,3694,31.0
10221,56.0,Male,Hyderabad,125456,64.0,3.0,8.0,10.0,Electronics,3895,140.0
10222,19.0,Male,Hyderabad,71433,42.0,17.0,11.0,1.0,Fashion,5623,145.0
10223,20.0,Female,Pune,96825,43.0,0.0,7.0,11.0,Home Decor,2942,29.0
10224,66.0,Male,Mumbai,75465,9.0,11.0,16.0,13.0,Electronics,3870,164.0
10225,54.0,Female,Mumbai,49411,14.0,40.0,7.0,6.0,Electronics,4010,104.0
10226,66.0,Male,Mumbai,69090,91.0,41.0,13.0,3.0,Grocery,4116,63.0
10227,34.0,Female,Bangalore,22263,96.0,49.0,10.0,6.0,Home Decor,5114,15.0
10228,,,,87209,,,,,,3219,
10229,,,,74844,,,,,,6251,
10230,19.0,Female,Mumbai,65211,97.0,35.0,7.0,8.0,Grocery,4456,11.0
10231,,,,88817,,,,,,5807,
10232,40.0,Female,Hyderabad,70938,1.0,6.0,13.0,6.0,Fashion,2544,55.0
10233,54.0,Male,Hyderabad,85170,75.0,8.0,5.0,6.0,Fashion,-716,63.0
10234,49.0,Female,Pune,94057,65.0,7.0,19.0,7.0,Fashion,6886,130.0
10235,50.0,Male,Mumbai,56269,46.0,24.0,15.0,11.0,Grocery,5417,7.0
10236,18.0,Male,Pune,49114,59.0,6.0,1.0,13.0,Fashion,6093,171.0
10237,36.0,Female,Hyderabad,26935,75.0,41.0,5.0,10.0,Fashion,7635,159.0
10238,19.0,Male,Hyderabad,73064,7.0,7.0,13.0,11.0,Fashion,3120,150.0
10239,61.0,Male,Bangalore,81302,66.0,23.0,10.0,4.0,Electronics,1382,28.0
10240,43.0,Male,Pune,36909,15.0,16.0,5.0,13.0,Fashion,6956,25.0
10241,,,,105509,,,,,,6304,
10242,23.0,Male,Mumbai,49441,47.0,45.0,10.0,8.0,Electronics,7211,176.0
10243,49.0,Male,Mumbai,17412,90.0,30.0,18.0,4.0,Grocery,8316,80.0
10244,21.0,Female,Bangalore,107370,40.0,11.0,8.0,7.0,Home Decor,2653,24.0
10245,28.0,Female,Delhi,20674,42.0,1.0,3.0,1.0,Electronics,6873,81.0
10246,34.0,Female,Delhi,94104,51.0,11.0,19.0,12.0,Fashion,4492,125.0
10247,55.0,Male,Delhi,88027,35.0,26.0,19.0,9.0,Electronics,6932,170.0
10248,41.0,Female,Pune,77988,41.0,45.0,2.0,10.0,Grocery,8672,70.0
10249,,,,56930,,,,,,5054,
10250,69.0,Male,Hyderabad,82569,57.0,12.0,16.0,7.0,Home Decor,3508,90.0
10251,51.0,Male,Pune,96212,38.0,35.0,10.0,8.0,Fashion,2288,124.0
10252,23.0,Male,Pune,45354,72.0,0.0,16.0,2.0,Fashion,492,92.0
10253,39.0,Female,Pune,94409,96.0,48.0,5.0,10.0,Home Decor,7903,111.0
10254,28.0,Male,Bangalore,93271,8.0,34.0,3.0,14.0,Grocery,8029,164.0
10255,65.0,Female,Pune,77326,74.0,29.0,3.0,14.0,Electronics,7022,159.0
10256,33.0,Male,Mumbai,56550,63.0,30.0,2.0,12.0,Grocery,4399,128.0
10257,50.0,Female,Mumbai,93386,87.0,16.0,4.0,10.0,Grocery,6574,155.0
10258,26.0,Female,Hyderabad,82707,4.0,7.0,18.0,7.0,Grocery,5611,173.0
10259,23.0,Female,Bangalore,44601,48.0,2.0,2.0,1.0,Fashion,2678,44.0
10260,33.0,Female,Mumbai,60816,52.0,9.0,6.0,3.0,Electronics,7297,57.0
10261,46.0,Female,Bangalore,90476,38.0,33.0,3.0,6.0,Fashion,6019,21.0
10262,20.0,Female,Bangalore,72864,94.0,21.0,3.0,5.0,Fashion,6472,55.0
10263,37.0,Male,Hyderabad,97149,87.0,3.0,2.0,5.0,Fashion,5652,109.0
10264,53.0,Female,Bangalore,61458,5.0,31.0,3.0,9.0,Electronics,5266,143.0
10265,36.0,Male,Pune,45002,85.0,28.0,17.0,6.0,Home Decor,5706,162.0
10266,43.0,Female,Bangalore,124840,70.0,45.0,14.0,3.0,Fashion,4430,104.0
10267,20.0,Male,Hyderabad,27977,81.0,10.0,7.0,2.0,Fashion,6214,131.0
10268,36.0,Female,Hyderabad,57504,89.0,45.0,6.0,14.0,Fashion,8902,129.0
10269,37.0,Female,Hyderabad,76993,24.0,12.0,8.0,9.0,Electronics,5925,24.0
10270,49.0,Male,Mumbai,94652,86.0,3.0,19.0,10.0,Electronics,7233,171.0
10271,24.0,Female,Pune,86161,77.0,1.0,19.0,14.0,Grocery,2638,27.0
10272,69.0,Female,Mumbai,127781,17.0,33.0,12.0,4.0,Fashion,6626,137.0
10273,58.0,Female,Delhi,67060,78.0,42.0,5.0,11.0,Fashion,6019,88.0
10274,50.0,Male,Pune,48175,98.0,21.0,5.0,5.0,Electronics,7151,145.0
10275,57.0,Female,Bangalore,64507,90.0,4.0,14.0,9.0,Electronics,4150,92.0
10276,56.0,Male,Hyderabad,62000,83.0,8.0,17.0,5.0,Fashion,6969,39.0
10277,35.0,Female,Delhi,68292,26.0,19.0,16.0,7.0,Home Decor,3561,55.0
10278,57.0,Female,Pune,45437,3.0,20.0,4.0,2.0,Grocery,7277,125.0
10279,18.0,Male,Mumbai,89601,2.0,16.0,8.0,2.0,Grocery,7414,45.0
10280,,,,79270,,,,,,2788,
10281,45.0,Female,Mumbai,38402,2.0,27.0,5.0,8.0,Grocery,5728,101.0
10282,42.0,Male,Pune,94200,22.0,17.0,7.0,2.0,Grocery,4560,157.0
10283,67.0,Female,Pune,49712,71.0,2.0,18.0,10.0,Fashion,5974,29.0
10284,40.0,Male,Delhi,40429,4.0,4.0,8.0,7.0,Grocery,5078,69.0
10285,48.0,Male,Bangalore,72183,38.0,13.0,11.0,13.0,Electronics,4551,11.0
10286,47.0,Male,Mumbai,26053,84.0,47.0,14.0,13.0,Fashion,3836,130.0
10287,59.0,Female,Delhi,84737,70.0,25.0,18.0,1.0,Electronics,7883,138.0
10288,52.0,Male,Hyderabad,-971,73.0,18.0,13.0,9.0,Fashion,3516,103.0
10289,24.0,Male,Bangalore,44265,52.0,40.0,6.0,10.0,Electronics,3909,108.0
10290,33.0,Female,Delhi,109378,31.0,16.0,13.0,6.0,Grocery,2488,119.0
10291,43.0,Male,Mumbai,52833,26.0,38.0,1.0,11.0,Home Decor,6712,155.0
10292,65.0,Female,Pune,57210,36.0,41.0,11.0,1.0,Electronics,7074,87.0
10293,69.0,Female,Hyderabad,101841,26.0,3.0,7.0,10.0,Electronics,5785,112.0
10294,66.0,Female,Mumbai,50178,28.0,41.0,10.0,6.0,Home Decor,3459,163.0
10295,19.0,Female,Bangalore,89085,5.0,34.0,2.0,14.0,Home Decor,1591,178.0
10296,18.0,Male,Bangalore,99354,74.0,23.0,16.0,5.0,Electronics,6119,74.0
10297,,,,81963,,,,,,6797,
10298,,,,33877,,,,,,3980,
10299,22.0,Male,Hyderabad,54900,57.0,32.0,16.0,5.0,Fashion,5149,95.0
10300,54.0,Male,Hyderabad,137840,97.0,14.0,15.0,5.0,Electronics,1856,80.0
10301,49.0,Female,Pune,57736,5.0,14.0,9.0,4.0,Electronics,3419,24.0
10302,26.0,Male,Pune,144658,37.0,30.0,1.0,7.0,Home Decor,5773,57.0
10303,58.0,Male,Bangalore,112724,86.0,42.0,9.0,13.0,Home Decor,4790,71.0
10304,52.0,Male,Pune,82976,86.0,27.0,11.0,9.0,Fashion,5378,83.0
10305,36.0,Female,Delhi,77430,22.0,9.0,5.0,13.0,Fashion,7278,144.0
10306,65.0,Female,Mumbai,291895,52.0,6.0,6.0,4.0,Grocery,10060,97.0
10307,33.0,Male,Pune,67777,15.0,32.0,8.0,2.0,Electronics,5411,36.0
10308,20.0,Female,Hyderabad,52781,17.0,6.0,15.0,2.0,Electronics,3639,45.0
10309,37.0,Male,Delhi,68409,51.0,4.0,16.0,2.0,Home Decor,4649,10.0
